ZIPCODE,score_mean,score_se,n
10451,9.07236842105,0.534553077195,157.0
10001,9.14669421488,0.301220194372,509.0
11430,9.5,0.700797396625,148.0
11236,9.86538461538,0.715445140962,111.0
10452,9.92222222222,0.56114161756,101.0
10472,10.1153846154,0.627676962861,108.0
11234,10.1276595745,0.496306950088,152.0
11217,10.2970711297,0.42094764013,254.0
10004,10.3821138211,0.490208952428,142.0
10306,10.4038461538,0.448623311945,111.0
11368,10.4601449275,0.443731139391,290.0
11369,10.5360824742,0.680700916052,104.0
10462,10.5379310345,0.494244339494,148.0
11201,10.5514018692,0.380257848602,345.0
11237,10.5847953216,0.524068128034,179.0
11231,10.5931034483,0.503525008949,159.0
11209,10.6208333333,0.517974370853,264.0
10019,10.6301587302,0.271987199375,660.0
10461,10.6805555556,0.58301051479,154.0
11232,10.6831683168,0.608420580245,106.0
10007,10.6916666667,0.464805846934,139.0
10023,10.7322404372,0.53929848565,197.0
11105,10.747826087,0.653904751975,123.0
10301,10.7741935484,0.598846688144,103.0
10065,10.7875,0.412953058675,173.0
11225,10.8,0.58266511026,101.0
11207,10.8181818182,0.600040848283,136.0
11218,10.8345864662,0.662181919855,147.0
10022,10.9421841542,0.33195774257,488.0
11222,10.9602272727,0.512427975937,193.0
10468,10.9896907216,0.740660284346,107.0
10458,11.0218579235,0.534939590782,196.0
11435,11.0495049505,0.649873171607,106.0
11101,11.069124424,0.398886485608,250.0
10036,11.0857142857,0.325002651627,593.0
10463,11.1219512195,0.674816437345,128.0
11204,11.1965811966,0.618634029351,123.0
11238,11.1990521327,0.589060812262,246.0
11361,11.2293577982,0.667673495968,119.0
11385,11.2669491525,0.419915041893,252.0
11215,11.2853025937,0.363924539323,372.0
10024,11.3,0.475991236018,202.0
10027,11.3246753247,0.574662010429,163.0
10010,11.327510917,0.499472633759,246.0
11106,11.3333333333,0.636823246533,156.0
10467,11.3612903226,0.567971436226,169.0
10017,11.3661971831,0.410582405559,376.0
11206,11.3777777778,0.606697345943,154.0
11103,11.4,0.481594610409,209.0
11432,11.4,0.603271716999,188.0
11373,11.4837209302,0.451274715227,225.0
10011,11.4953271028,0.351072260268,463.0
10012,11.5602094241,0.350668775358,402.0
10009,11.5909090909,0.380843825451,312.0
11221,11.603960396,0.877555902372,111.0
11226,11.6205128205,0.658563319437,201.0
10028,11.66,0.539059958143,214.0
10038,11.6623376623,0.729700959604,168.0
11230,11.6632653061,0.669431885582,102.0
10003,11.6703821656,0.309576106512,675.0
10014,11.7023498695,0.396998057211,408.0
11358,11.7076923077,0.634854887283,143.0
10018,11.7275541796,0.423002026313,333.0
10016,11.7335025381,0.408293586894,414.0
11375,11.7567567568,0.479216853352,196.0
10025,11.7909090909,0.55411337455,237.0
11203,11.8682170543,0.643035851981,141.0
10002,11.8686635945,0.384857717661,474.0
11219,11.8775510204,0.915611108891,105.0
10029,12.0215053763,0.686860272033,197.0
11208,12.027027027,0.783095243115,116.0
10013,12.0385487528,0.329329730452,480.0
11205,12.0571428571,0.64786131208,145.0
11223,12.0946745562,0.662725283012,185.0
10314,12.1461988304,0.530930282018,185.0
11214,12.1904761905,0.621683610079,180.0
11211,12.3204747774,0.471543356458,365.0
11249,12.3382352941,0.730311178222,155.0
11216,12.4025974026,0.743849997226,166.0
10021,12.5416666667,0.61232547858,152.0
11229,12.5882352941,0.832219636918,142.0
10128,12.6490066225,0.914142261039,159.0
10034,12.6559139785,0.829310107895,106.0
10032,12.7522123894,0.995681377854,117.0
11372,12.8417508418,0.5064980855,319.0
11354,12.9399399399,0.544737828497,361.0
10033,12.972972973,0.696142995092,120.0
11377,13.0049751244,0.673652948464,214.0
11220,13.1815068493,0.536032217296,317.0
11235,13.3374233129,0.921140782308,176.0
11104,13.5673076923,0.881185891213,114.0
11355,14.0597826087,0.675628559603,197.0
