"CUISINECODE","VIOLATIONCODE","VIOLATIONDESC","A","B","D","C","ratio","CODEDESC"
"49","04C","Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.",541,18374,520720,4726,3.24417366330397,"Japanese"
"14","20D","“Choking first aid” poster not posted. “Alcohol and pregnancy” warning sign not posted. Resuscitation equipment: exhaled air resuscitation masks (adult & pediatric), latex gloves, sign not posted. Inspection report sign not posted.",175,14860,520720,1945,3.15285423161158,"Caf/Coffee/Tea"
"51","04A","Food Protection Certificate not held by supervisor of food operations.",145,2638,520720,9264,3.08957628705475,"Juice, Smoothies, Fruit Salads"
"29","10E","Accurate thermometer not provided in refrigerated or hot holding equipment.",130,6303,520720,3536,3.03730249834346,"Donuts"
"43","04A","Food Protection Certificate not held by supervisor of food operations.",193,3670,520720,9264,2.95594913714805,"Ice Cream, Gelato, Yogurt, Ices"
"82","09B","Thawing procedures improper.",151,6843,520720,4364,2.63299433021334,"Thai"
"47","04H","Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",321,4422,520720,15954,2.36930496752111,"Irish"
"55","02H","Food not cooled by an approved method whereby the internal product temperature is reduced from 140º F to 70º F or less within 2 hours, and from 70º F to 41º F or less within 4 additional hours.",260,18419,520720,3160,2.32607908317017,"Mexican"
"44","02H","Food not cooled by an approved method whereby the internal product temperature is reduced from 140º F to 70º F or less within 2 hours, and from 70º F to 41º F or less within 4 additional hours.",112,8170,520720,3160,2.25898393319183,"Indian"
"20","09B","Thawing procedures improper.",1121,60880,520720,4364,2.19710334585565,"Chinese"
"17","02H","Food not cooled by an approved method whereby the internal product temperature is reduced from 140º F to 70º F or less within 2 hours, and from 70º F to 41º F or less within 4 additional hours.",206,16100,520720,3160,2.10842676311031,"Caribbean"
"39","10E","Accurate thermometer not provided in refrigerated or hot holding equipment.",109,7663,520720,3536,2.09468959087063,"Hamburgers"
"75","02G","Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.",106,576,520720,45819,2.09142374221272,"Soups & Sandwiches"
"20","04D","Food worker does not wash hands thoroughly after using the toilet, coughing, sneezing, smoking, eating, preparing raw foods or otherwise contaminating hands.",121,60880,520720,496,2.08657167987792,"Chinese"
"03","15I","""""No Smoking” and/or 'Smoking Permitted” sign not conspicuously posted. Health warning not present on 'Smoking Permitted”",227,125458,520720,453,2.07985737168507,"American "
"29","22C","Bulb not shielded or shatterproof, in areas where there is extreme heat, temperature changes, or where accidental contact may occur.",110,6303,520720,4401,2.06489640423623,"Donuts"
"56","04A","Food Protection Certificate not held by supervisor of food operations.",117,3313,520720,9264,1.9850440015702,"Middle Eastern"
"77","02H","Food not cooled by an approved method whereby the internal product temperature is reduced from 140º F to 70º F or less within 2 hours, and from 70º F to 41º F or less within 4 additional hours.",151,13090,520720,3160,1.90087901673903,"Spanish"
"39","04N","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",600,7663,520720,21508,1.89564345419205,"Hamburgers"
"14","10A","Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.",315,14860,520720,5860,1.88364209298159,"Caf/Coffee/Tea"
"29","09C","Food contact surface not properly maintained.",154,6303,520720,6806,1.86932893109919,"Donuts"
"63","02B","Hot food item not held at or above 140º F.",915,10645,520720,24523,1.8251816284583,"Pizza/Italian"
"43","06A","Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.",120,3670,520720,9381,1.81497356678102,"Ice Cream, Gelato, Yogurt, Ices"
"14","04A","Food Protection Certificate not held by supervisor of food operations.",474,14860,520720,9264,1.79293788659614,"Caf/Coffee/Tea"
"49","09B","Thawing procedures improper.",275,18374,520720,4364,1.7858644757362,"Japanese"
"29","06E","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",296,6303,520720,13741,1.77963247759718,"Donuts"
"69","04A","Food Protection Certificate not held by supervisor of food operations.",206,6510,520720,9264,1.77865592724359,"Sandwiches"
"20","04M","Live roaches present in facility's food and/or non-food areas.",2986,60880,520720,14568,1.75315165238952,"Chinese"
"49","06F","Wiping cloths soiled or not stored in sanitizing solution.",617,18374,520720,10016,1.74578756062793,"Japanese"
"18","16B","The original nutritional fact labels and/or ingredient label for a cooking oil, shortening or margarine or food item sold in bulk, or acceptable manufacturer’s documentation not maintained on site.",145,7442,520720,5852,1.73371727919883,"Chicken"
"53","02H","Food not cooled by an approved method whereby the internal product temperature is reduced from 140º F to 70º F or less within 2 hours, and from 70º F to 41º F or less within 4 additional hours.",274,26063,520720,3160,1.73238069196499,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
"22","02B","Hot food item not held at or above 140º F.",105,1303,520720,24523,1.71110060068908,"Chinese/Japanese"
"29","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",1336,6303,520720,66420,1.66174560294795,"Donuts"
"82","04M","Live roaches present in facility's food and/or non-food areas.",318,6843,520720,14568,1.66105841513388,"Thai"
"17","02B","Hot food item not held at or above 140º F.",1259,16100,520720,24523,1.66046801544905,"Caribbean"
"03","15J","Ashtray present in smoke-free area.",185,125458,520720,464,1.65485385684782,"American "
